Tweet ID,Retweeter,Tweeter
7.45765E+17,LeaveEUOfficial,Louners_
7.45867E+17,StrongerIn,RuthDavidsonMSP
7.4587E+17,vote_leave,TheSun
7.45873E+17,StrongerIn,davidwalliams
7.45874E+17,LeaveEUOfficial,DavidJo52951945
7.45874E+17,vote_leave,DavidTCDavies
7.45874E+17,vote_leave,Mike_Fabricant
7.45875E+17,LeaveEUOfficial,littleboy81
7.45875E+17,vote_leave,Vote_LeaveMedia
7.45875E+17,vote_leave,lucyallan
7.45875E+17,vote_leave,Andrew4Pendle
7.45875E+17,vote_leave,patel4witham
7.45875E+17,vote_leave,JasonMcCartney
7.45875E+17,vote_leave,BradenDavy
7.45876E+17,LeaveEUOfficial,LordFawlty
7.45876E+17,LeaveEUOfficial,bruisedarcade
7.45876E+17,LeaveEUOfficial,goodyuk
7.45877E+17,vote_leave,Ian_Fry
7.45877E+17,StrongerIn,JKCorden
7.45877E+17,StrongerIn,UKLabour
7.45878E+17,vote_leave,CllrAlexBright
7.45878E+17,LeaveEUOfficial,Ian_Fry
7.45879E+17,vote_leave,struanmackie
7.45879E+17,LeaveEUOfficial,RossThomsonTory
7.45879E+17,vote_leave,wallaceme
7.45879E+17,LeaveEUOfficial,HenrySmithMP
7.45879E+17,LeaveEUOfficial,onetokebloke
7.45879E+17,LeaveEUOfficial,williamdbatesuk
7.4588E+17,StrongerIn,StrongerInPress
7.4588E+17,StrongerIn,EmmaReynoldsMP
7.45882E+17,StrongerIn,kezdugdale
7.45882E+17,StrongerIn,wdjstraw
7.45882E+17,vote_leave,_michaelhope
7.45884E+17,LeaveEUOfficial,simplysimontfa
7.45884E+17,vote_leave,RHendron
7.45884E+17,vote_leave,Cllr_Mike_Green
7.45886E+17,StrongerIn,lucianaberger
7.45887E+17,vote_leave,cmackinlay
7.45887E+17,vote_leave,mkpdavies
7.45887E+17,vote_leave,jameskirkup
7.45888E+17,vote_leave,ryanhenson87
7.45889E+17,vote_leave,NadineDorriesMP
7.4589E+17,vote_leave,JamesBennewith
7.4589E+17,vote_leave,Glenn_Williams1
7.45891E+17,vote_leave,AshleyDG1998
7.45892E+17,vote_leave,mundaufmachen
7.45893E+17,LeaveEUOfficial,YIofficial
7.45894E+17,vote_leave,voteleavedorset
7.45896E+17,StrongerIn,StrongerInPress
7.45897E+17,vote_leave,cholt_1
7.45901E+17,vote_leave,Harsimrat__Kaur
7.45902E+17,StrongerIn,NicolaSturgeon
7.45903E+17,vote_leave,pompeypolly
7.45903E+17,LeaveEUOfficial,louisthirIs
7.45904E+17,LeaveEUOfficial,AlexeiSand
7.45905E+17,StrongerIn,The_TUC
7.45906E+17,StrongerIn,UKLabourIN
7.45906E+17,StrongerIn,UKLabour
7.45906E+17,StrongerIn,StrongerInPress
7.45906E+17,StrongerIn,GregHands
7.45907E+17,vote_leave,AndrewRosindell
7.45907E+17,vote_leave,HenrySmithMP
7.45908E+17,vote_leave,MalcCarter
7.45909E+17,LeaveEUOfficial,SolManOfficial
7.4591E+17,LeaveEUOfficial,labourleave
7.4591E+17,StrongerIn,ConservativesIN
7.4591E+17,StrongerIn,UKLabour
7.45911E+17,StrongerIn,MirrorPolitics
7.45912E+17,StrongerIn,DeborahMeaden
7.45914E+17,vote_leave,VeteransBritain
7.45914E+17,vote_leave,andrealeadsom
7.45915E+17,vote_leave,andrealeadsom
7.45916E+17,vote_leave,LouiseMensch
7.45916E+17,vote_leave,VotePursglove
7.45917E+17,StrongerIn,kellyhoppen
7.45917E+17,StrongerIn,UKLabour
7.45917E+17,vote_leave,andrealeadsom
7.45918E+17,StrongerIn,SE_StrongerIn
7.45918E+17,vote_leave,BorisJohnson
7.45918E+17,StrongerIn,WycombeInEurope
7.45918E+17,vote_leave,beleaveuk
7.45918E+17,StrongerIn,MattHancockMP
7.45918E+17,vote_leave,TheSun
7.45919E+17,vote_leave,reactionlife
7.45919E+17,vote_leave,SteveBakerHW
7.45919E+17,vote_leave,Of_Mice_And_Ben
7.45919E+17,LeaveEUOfficial,LeaveEUOfficial
7.45919E+17,LeaveEUOfficial,KirkKus
7.4592E+17,vote_leave,SteveBakerHW
7.4592E+17,StrongerIn,StrongerInPress
7.45921E+17,vote_leave,NadineDorriesMP
7.45922E+17,LeaveEUOfficial,Stop_The_EU
7.45922E+17,vote_leave,ScotsVoteLeave
7.45923E+17,vote_leave,JamesHarryBull
7.45924E+17,vote_leave,Nnamdi_ES_Okoye
7.45924E+17,vote_leave,MrRBourne
7.45924E+17,StrongerIn,AmberRudd_MP
7.45924E+17,vote_leave,LouiseMensch
